year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,andhra pradesh,1,ichchapuram,ganapa vanajakshi,female,31.0,general,ind,ring,613,4.0,617,0.357840891,247941
2014,andhra pradesh,1,ichchapuram,nota,,,,nota,nota,3872,8.0,3880,2.250279835,247941
2014,andhra pradesh,1,ichchapuram,eswara rao kolli,male,50.0,general,inc,hand,2100,38.0,2138,1.239973785,247941
2014,andhra pradesh,1,ichchapuram,dasari raju,male,42.0,general,jnp,glass tumbler,10940,183.0,11123,6.450995517,247941
2014,andhra pradesh,1,ichchapuram,jannala suryavara prasada rao,male,67.0,general,bjp,lotus,1656,170.0,1826,1.059023448,247941
2014,andhra pradesh,1,ichchapuram,ashok bendalam,male,37.0,general,tdp,bicycle,79405,587.0,79992,46.39288262,247941
2014,andhra pradesh,1,ichchapuram,piriya sairaj,male,42.0,general,ysrcp,ceiling fan,71931,916.0,72847,42.2490039,247941
2014,andhra pradesh,2,palasa,manoj nalanagula,male,38.0,general,ind,football,392,,392,0.260134978,206799
2014,andhra pradesh,2,palasa,gouthu sireesha,female,44.0,general,tdp,bicycle,59873,483.0,60356,40.05282333,206799
2014,andhra pradesh,2,palasa,majji sarada,female,64.0,general,inc,hand,1226,29.0,1255,0.832830096,206799
2014,andhra pradesh,2,palasa,nota,,,,nota,nota,3034,10.0,3044,2.020027739,206799
2014,andhra pradesh,2,palasa,dunna vasudevu,male,54.0,general,ind,tractor chalata kissan,636,3.0,639,0.424046559,206799
2014,andhra pradesh,2,palasa,mamidi prasad,male,32.0,general,ind,ring,322,4.0,326,0.216336742,206799
2014,andhra pradesh,2,palasa,kotha purnachandra rao,male,47.0,general,jnp,glass tumbler,5972,161.0,6133,4.069917911,206799
2014,andhra pradesh,2,palasa,korrayi balakrishna,male,49.0,general,bjp,lotus,1359,215.0,1574,1.044521571,206799
2014,andhra pradesh,2,palasa,appalaraju seediri,male,39.0,general,ysrcp,ceiling fan,75357,1246.0,76603,50.83448912,206799
2014,andhra pradesh,2,palasa,kameswara rao pothanapalli,male,51.0,general,cpi(ml)(l),flag with three stars,368,1.0,369,0.244871957,206799
2014,andhra pradesh,3,tekkali,gutla kanchana,female,31.0,general,ind,diamond,567,2.0,569,0.322228074,224852
2014,andhra pradesh,3,tekkali,nota,,,,nota,nota,2929,6.0,2935,1.662107904,224852
2014,andhra pradesh,3,tekkali,chintada dileep kumar,male,38.0,sc,inc,hand,1706,37.0,1743,0.987071236,224852
2014,andhra pradesh,3,tekkali,chandrasekhara patnaik,male,58.0,general,aifb,lion,213,3.0,216,0.122322081,224852
2014,andhra pradesh,3,tekkali,kaniti kiran kumar,male,37.0,general,jnp,glass tumbler,2710,96.0,2806,1.589054439,224852
2014,andhra pradesh,3,tekkali,hanumanthu uday bhaskar,male,50.0,general,bjp,lotus,773,156.0,929,0.526098209,224852
2014,andhra pradesh,3,tekkali,atchannaidu kinjarapu,male,49.0,general,tdp,bicycle,86626,1032.0,87658,49.64124519,224852
2014,andhra pradesh,3,tekkali,perada tilak,male,45.0,general,ysrcp,ceiling fan,77769,1344.0,79113,44.80216102,224852
2014,andhra pradesh,3,tekkali,ramu geddevalasa,male,35.0,general,ind,helicopter,613,1.0,614,0.347711841,224852
2014,andhra pradesh,4,pathapatnam,mulleti srinivas achari,male,35.0,general,ind,ganna kisan,521,,521,0.341417703,217897
2014,andhra pradesh,4,pathapatnam,reddy shanthi,female,51.0,general,ysrcp,ceiling fan,75669,1272.0,76941,50.42038283,217897
2014,andhra pradesh,4,pathapatnam,nota,,,,nota,nota,4202,15.0,4217,2.763451923,217897
2014,andhra pradesh,4,pathapatnam,banna ramu,male,44.0,sc,inc,hand,1679,23.0,1702,1.115341516,217897
2014,andhra pradesh,4,pathapatnam,kantubhukta bhaskara rao,male,42.0,general,acp,tooth brush,524,2.0,526,0.344694264,217897
2014,andhra pradesh,4,pathapatnam,gedela gyana sagar,male,27.0,general,jnp,glass tumbler,5378,130.0,5508,3.609460088,217897
2014,andhra pradesh,4,pathapatnam,raghava rao salana,male,53.0,general,bjp,lotus,1341,109.0,1450,0.950202819,217897
2014,andhra pradesh,4,pathapatnam,kalamata venkata ramana murthy,male,56.0,general,tdp,bicycle,60975,415.0,61390,40.22962143,217897
2014,andhra pradesh,4,pathapatnam,bhaskararao boddepalli,male,30.0,general,ind,air conditioner,343,1.0,344,0.225427427,217897
2014,andhra pradesh,5,srikakulam,gunda lakshmi devi,female,58.0,general,tdp,bicycle,77575,732.0,78307,44.16713199,256243
2014,andhra pradesh,5,srikakulam,mylapilli teju,female,28.0,general,ind,ship,528,5.0,533,0.300625504,256243
2014,andhra pradesh,5,srikakulam,nota,,,,nota,nota,3063,19.0,3082,1.738326086,256243
2014,andhra pradesh,5,srikakulam,ragolu naga siva,male,32.0,general,jajgp,mike,303,2.0,305,0.172027727,256243
2014,andhra pradesh,5,srikakulam,chowdari satish,male,33.0,general,inc,hand,1800,27.0,1827,1.030474289,256243
2014,andhra pradesh,5,srikakulam,korada sarveswara rao,male,39.0,general,jnp,glass tumbler,7440,117.0,7557,4.262339464,256243
2014,andhra pradesh,5,srikakulam,challa venkateswara rao,male,52.0,general,bjp,lotus,1260,80.0,1340,0.75579395,256243
2014,andhra pradesh,5,srikakulam,dharmana prasada rao,male,60.0,general,ysrcp,ceiling fan,82388,1696.0,84084,47.42550635,256243
2014,andhra pradesh,5,srikakulam,mahesh a,male,38.0,general,ppoi,flute,261,1.0,262,0.147774638,256243
2014,andhra pradesh,6,amadalavalasa,boddepalli satyavathi,female,66.0,general,inc,hand,969,24.0,993,0.661686802,189677
2014,andhra pradesh,6,amadalavalasa,nota,,,,nota,nota,2651,5.0,2656,1.769828948,189677
2014,andhra pradesh,6,amadalavalasa,sateeshkumar tulugu,male,27.0,general,ind,almirah,380,3.0,383,0.255212533,189677
2014,andhra pradesh,6,amadalavalasa,pedada ramamohana rao,male,31.0,general,jnp,glass tumbler,3193,87.0,3280,2.185632134,189677
2014,andhra pradesh,6,amadalavalasa,gaddayya patini,male,64.0,general,bjp,lotus,854,102.0,956,0.637031805,189677
2014,andhra pradesh,6,amadalavalasa,koona ravikumar,male,50.0,general,tdp,bicycle,63274,632.0,63906,42.58384365,189677
2014,andhra pradesh,6,amadalavalasa,thammineni seetharam,male,64.0,general,ysrcp,ceiling fan,76801,1096.0,77897,51.90676413,189677
2014,andhra pradesh,7,etcherla,mahanthi. satyanarayana.,male,40.0,general,ind,bat,782,,782,0.400262064,232070
2014,andhra pradesh,7,etcherla,mudili venkata ramana,male,40.0,general,ind,gas stove,640,,640,0.327580206,232070
2014,andhra pradesh,7,etcherla,ananth mahanthi,male,33.0,general,ind,carrom board,269,,269,0.137686055,232070
2014,andhra pradesh,7,etcherla,kari. siva rao,male,42.0,general,ppoi,flute,195,,195,0.099809594,232070
2014,andhra pradesh,7,etcherla,nota,,,,nota,nota,4623,5.0,4628,2.368814364,232070
2014,andhra pradesh,7,etcherla,kottakotla simhadri naidu,male,41.0,general,inc,hand,2126,9.0,2135,1.092787093,232070
2014,andhra pradesh,7,etcherla,badana. venkata janardhana rao,male,45.0,general,jnp,glass tumbler,4992,76.0,5068,2.594025756,232070
2014,andhra pradesh,7,etcherla,rokkam. suryaprakash rao,male,60.0,general,bjp,lotus,988,34.0,1022,0.523104641,232070
2014,andhra pradesh,7,etcherla,kalavenkata rao kimidi,male,65.0,general,tdp,bicycle,80690,271.0,80961,41.4394079,232070
2014,andhra pradesh,7,etcherla,gorle. kiran kumar,male,53.0,general,ysrcp,ceiling fan,99070,602.0,99672,51.01652233,232070
2014,andhra pradesh,8,narasannapeta,naidugari rajasekhar,male,35.0,general,ind,switchboard,255,,255,0.152212453,210451
2014,andhra pradesh,8,narasannapeta,reddi bhagya lakshmi,female,44.0,general,bjp,lotus,758,123.0,881,0.525879102,210451
2014,andhra pradesh,8,narasannapeta,nota,,,,nota,nota,3485,6.0,3491,2.083818324,210451
2014,andhra pradesh,8,narasannapeta,satya tadi,male,44.0,sc,ind,ganna kisan,451,3.0,454,0.270997857,210451
2014,andhra pradesh,8,narasannapeta,bheri venkata ramana,male,53.0,sc,ind,apple,339,2.0,341,0.203546849,210451
2014,andhra pradesh,8,narasannapeta,dandupati koteshwar rao,male,42.0,general,jajgp,mike,334,6.0,340,0.202949937,210451
2014,andhra pradesh,8,narasannapeta,dola udayabhaskara rao,male,48.0,general,inc,hand,5235,31.0,5266,3.143336378,210451
2014,andhra pradesh,8,narasannapeta,metta vaikunta rao,male,45.0,general,jnp,glass tumbler,2373,89.0,2462,1.469596309,210451
2014,andhra pradesh,8,narasannapeta,baggu ramana murthy,male,60.0,general,tdp,bicycle,66597,645.0,67242,40.13752843,210451
2014,andhra pradesh,8,narasannapeta,dharmana krishna das,male,64.0,general,ysrcp,ceiling fan,85622,1175.0,86797,51.81013436,210451
2014,andhra pradesh,9,rajam (sc),mannena ramesh,male,36.0,sc,prshp,helicopter,505,,505,0.310704222,220006
2014,andhra pradesh,9,rajam (sc),nota,,,,nota,nota,3583,4.0,3587,2.206922859,220006
2014,andhra pradesh,9,rajam (sc),kambala jogulu,male,52.0,sc,ysrcp,ceiling fan,82569,992.0,83561,51.411397,220006
2014,andhra pradesh,9,rajam (sc),kondru murali mohan,male,49.0,sc,tdp,bicycle,66272,441.0,66713,41.04556585,220006
2014,andhra pradesh,9,rajam (sc),mutcha srinivasa rao,male,39.0,sc,jnp,glass tumbler,4924,63.0,4987,3.068281098,220006
2014,andhra pradesh,9,rajam (sc),kambala rajavardhana,male,36.0,sc,inc,hand,2205,9.0,2214,1.362176529,220006
2014,andhra pradesh,9,rajam (sc),chaitanya kumar mannena,male,39.0,sc,bjp,lotus,924,43.0,967,0.594952441,220006
2014,andhra pradesh,10,palakonda (st),viswasarayi kalavathi,female,53.0,st,ysrcp,ceiling fan,70778,1276.0,72054,52.7049564,184967
2014,andhra pradesh,10,palakonda (st),suneetha thadangi,female,28.0,st,bjp,lotus,1121,48.0,1169,0.855082217,184967
2014,andhra pradesh,10,palakonda (st),gangamma savara,female,48.0,st,ind,battery torch,730,2.0,732,0.535432149,184967
2014,andhra pradesh,10,palakonda (st),nota,,,,nota,nota,3544,4.0,3548,2.595236702,184967
2014,andhra pradesh,10,palakonda (st),jayakrishna nimmaka,male,39.0,st,tdp,bicycle,53622,452.0,54074,39.55322137,184967
2014,andhra pradesh,10,palakonda (st),dvg sankara rao,male,50.0,st,cpi,ears of corn and sickle,3283,60.0,3343,2.445286442,184967
2014,andhra pradesh,10,palakonda (st),h. prasad rao,male,39.0,st,inc,hand,994,7.0,1001,0.73219615,184967
2014,andhra pradesh,10,palakonda (st),arika krishna rao,male,58.0,st,ind,gas cylinder,786,5.0,791,0.578588566,184967
2014,andhra pradesh,11,kurupam (st),pushpasreevani . pamula,female,33.0,st,ysrcp,ceiling fan,73863,664.0,74527,52.02292368,184259
2014,andhra pradesh,11,kurupam (st),veera vara thodramal nara simha priya thatraj,female,65.0,st,tdp,bicycle,47607,318.0,47925,33.45362912,184259
2014,andhra pradesh,11,kurupam (st),nota,,,,nota,nota,4534,1.0,4535,3.165617278,184259
2014,andhra pradesh,11,kurupam (st),avinash kumar kolaka,male,36.0,st,cpm,"hammer, sickle and star",8551,54.0,8605,6.006645353,184259
2014,andhra pradesh,11,kurupam (st),nimmaka. jayaraju.,male,55.0,st,bjp,lotus,4137,67.0,4204,2.934565609,184259
2014,andhra pradesh,11,kurupam (st),nimmaka simhachalam,male,39.0,st,inc,hand,2198,6.0,2204,1.538483017,184259
2014,andhra pradesh,11,kurupam (st),nimmaka vasudevarao,male,54.0,st,ind,hand cart,1257,1.0,1258,0.878135951,184259
2014,andhra pradesh,12,parvathipuram (sc),hariyala prameela,female,35.0,sc,ind,battery torch,465,,465,0.330549138,182866
2014,andhra pradesh,12,parvathipuram (sc),nota,,,,nota,nota,3515,6.0,3521,2.502932291,182866
2014,andhra pradesh,12,parvathipuram (sc),alajangi jogarao,male,46.0,sc,ysrcp,ceiling fan,74223,1081.0,75304,53.53047805,182866
2014,andhra pradesh,12,parvathipuram (sc),bobbili chiranjeevulu,male,60.0,sc,tdp,bicycle,50661,444.0,51105,36.32841656,182866
2014,andhra pradesh,12,parvathipuram (sc),gongada gowri sankara rao,male,31.0,sc,jnp,glass tumbler,6538,71.0,6609,4.698062911,182866
2014,andhra pradesh,12,parvathipuram (sc),ramudu hariyala,male,60.0,sc,inc,hand,1964,6.0,1970,1.400390972,182866
2014,andhra pradesh,12,parvathipuram (sc),suragala uma maheswara rao,male,45.0,sc,bjp,lotus,960,26.0,986,0.700906344,182866
2014,andhra pradesh,12,parvathipuram (sc),jayaratna kumar saila,male,56.0,sc,ind,tractor chalata kissan,714,1.0,715,0.508263728,182866
2014,andhra pradesh,13,salur (st),lachayya. telugu,male,51.0,st,ind,pot,836,,836,0.551040451,190936
2014,andhra pradesh,13,salur (st),janni. simhachalam,male,44.0,st,ind,ring,361,,361,0.237949286,190936
2014,andhra pradesh,13,salur (st),m. paramma,female,60.0,st,ind,pen nib with seven rays,498,,498,0.328251369,190936
2014,andhra pradesh,13,salur (st),bonela. govindamma,female,38.0,st,jnp,glass tumbler,3257,51.0,3308,2.180432791,190936
2014,andhra pradesh,13,salur (st),nota,,,,nota,nota,4871,3.0,4874,3.212644928,190936
