year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,Andhra Pradesh,1,ICHCHAPURAM,GANAPA VANAJAKSHI,FEMALE,31.0,GENERAL,IND,Ring,613,4.0,617,0.357840891,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,NOTA,,,,NOTA,NOTA,3872,8.0,3880,2.250279835,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,ESWARA RAO KOLLI,MALE,50.0,GENERAL,INC,Hand,2100,38.0,2138,1.239973785,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,DASARI RAJU,MALE,42.0,GENERAL,JnP,Glass Tumbler,10940,183.0,11123,6.450995517,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,JANNALA SURYAVARA PRASADA RAO,MALE,67.0,GENERAL,BJP,Lotus,1656,170.0,1826,1.059023448,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,ASHOK BENDALAM,MALE,37.0,GENERAL,TDP,Bicycle,79405,587.0,79992,46.39288262,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,PIRIYA SAIRAJ,MALE,42.0,GENERAL,YSRCP,Ceiling Fan,71931,916.0,72847,42.2490039,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,GANAPA VANAJAKSHI,FEMALE,31.0,GENERAL,IND,Ring,613,4.0,617,0.357840891,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,NOTA,,,,NOTA,NOTA,3872,8.0,3880,2.250279835,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,ESWARA RAO KOLLI,MALE,50.0,GENERAL,INC,Hand,2100,38.0,2138,1.239973785,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,DASARI RAJU,MALE,42.0,GENERAL,JnP,Glass Tumbler,10940,183.0,11123,6.450995517,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,JANNALA SURYAVARA PRASADA RAO,MALE,67.0,GENERAL,BJP,Lotus,1656,170.0,1826,1.059023448,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,ASHOK BENDALAM,MALE,37.0,GENERAL,TDP,Bicycle,79405,587.0,79992,46.39288262,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,PIRIYA SAIRAJ,MALE,42.0,GENERAL,YSRCP,Ceiling Fan,71931,916.0,72847,42.2490039,247941
2014,Andhra Pradesh,2,PALASA,MANOJ NALANAGULA,MALE,38.0,GENERAL,IND,Football,392,,392,0.260134978,206799
2014,Andhra Pradesh,2,PALASA,GOUTHU SIREESHA,FEMALE,44.0,GENERAL,TDP,Bicycle,59873,483.0,60356,40.05282333,206799
2014,Andhra Pradesh,2,PALASA,MAJJI SARADA,FEMALE,64.0,GENERAL,INC,Hand,1226,29.0,1255,0.832830096,206799
2014,Andhra Pradesh,2,PALASA,NOTA,,,,NOTA,NOTA,3034,10.0,3044,2.020027739,206799
2014,Andhra Pradesh,2,PALASA,DUNNA VASUDEVU,MALE,54.0,GENERAL,IND,Tractor Chalata Kissan,636,3.0,639,0.424046559,206799
2014,Andhra Pradesh,2,PALASA,MAMIDI PRASAD,MALE,32.0,GENERAL,IND,Ring,322,4.0,326,0.216336742,206799
2014,Andhra Pradesh,2,PALASA,KOTHA PURNACHANDRA RAO,MALE,47.0,GENERAL,JnP,Glass Tumbler,5972,161.0,6133,4.069917911,206799
2014,Andhra Pradesh,2,PALASA,KORRAYI BALAKRISHNA,MALE,49.0,GENERAL,BJP,Lotus,1359,215.0,1574,1.044521571,206799
2014,Andhra Pradesh,2,PALASA,APPALARAJU SEEDIRI,MALE,39.0,GENERAL,YSRCP,Ceiling Fan,75357,1246.0,76603,50.83448912,206799
2014,Andhra Pradesh,2,PALASA,KAMESWARA RAO POTHANAPALLI,MALE,51.0,GENERAL,CPI(ML)(L),Flag with Three Stars,368,1.0,369,0.244871957,206799
2019,Andhra Pradesh,2,PALASA,MANOJ NALANAGULA,MALE,38.0,GENERAL,IND,Football,392,,392,0.260134978,206799
2019,Andhra Pradesh,2,PALASA,GOUTHU SIREESHA,FEMALE,44.0,GENERAL,TDP,Bicycle,59873,483.0,60356,40.05282333,206799
2019,Andhra Pradesh,2,PALASA,MAJJI SARADA,FEMALE,64.0,GENERAL,INC,Hand,1226,29.0,1255,0.832830096,206799
2019,Andhra Pradesh,2,PALASA,NOTA,,,,NOTA,NOTA,3034,10.0,3044,2.020027739,206799
2019,Andhra Pradesh,2,PALASA,DUNNA VASUDEVU,MALE,54.0,GENERAL,IND,Tractor Chalata Kissan,636,3.0,639,0.424046559,206799
2019,Andhra Pradesh,2,PALASA,MAMIDI PRASAD,MALE,32.0,GENERAL,IND,Ring,322,4.0,326,0.216336742,206799
2019,Andhra Pradesh,2,PALASA,KOTHA PURNACHANDRA RAO,MALE,47.0,GENERAL,JnP,Glass Tumbler,5972,161.0,6133,4.069917911,206799
2019,Andhra Pradesh,2,PALASA,KORRAYI BALAKRISHNA,MALE,49.0,GENERAL,BJP,Lotus,1359,215.0,1574,1.044521571,206799
2019,Andhra Pradesh,2,PALASA,APPALARAJU SEEDIRI,MALE,39.0,GENERAL,YSRCP,Ceiling Fan,75357,1246.0,76603,50.83448912,206799
2019,Andhra Pradesh,2,PALASA,KAMESWARA RAO POTHANAPALLI,MALE,51.0,GENERAL,CPI(ML)(L),Flag with Three Stars,368,1.0,369,0.244871957,206799
2014,Andhra Pradesh,3,TEKKALI,Gutla Kanchana,FEMALE,31.0,GENERAL,IND,DIAMOND,567,2.0,569,0.322228074,224852
2014,Andhra Pradesh,3,TEKKALI,NOTA,,,,NOTA,NOTA,2929,6.0,2935,1.662107904,224852
2014,Andhra Pradesh,3,TEKKALI,Chintada Dileep Kumar,MALE,38.0,SC,INC,Hand,1706,37.0,1743,0.987071236,224852
2014,Andhra Pradesh,3,TEKKALI,Chandrasekhara Patnaik,MALE,58.0,GENERAL,AIFB,Lion,213,3.0,216,0.122322081,224852
2014,Andhra Pradesh,3,TEKKALI,Kaniti Kiran Kumar,MALE,37.0,GENERAL,JnP,Glass Tumbler,2710,96.0,2806,1.589054439,224852
2014,Andhra Pradesh,3,TEKKALI,HANUMANTHU UDAY BHASKAR,MALE,50.0,GENERAL,BJP,Lotus,773,156.0,929,0.526098209,224852
2014,Andhra Pradesh,3,TEKKALI,ATCHANNAIDU KINJARAPU,MALE,49.0,GENERAL,TDP,Bicycle,86626,1032.0,87658,49.64124519,224852
2014,Andhra Pradesh,3,TEKKALI,PERADA TILAK,MALE,45.0,GENERAL,YSRCP,Ceiling Fan,77769,1344.0,79113,44.80216102,224852
2014,Andhra Pradesh,3,TEKKALI,Ramu Geddevalasa,MALE,35.0,GENERAL,IND,Helicopter,613,1.0,614,0.347711841,224852
2019,Andhra Pradesh,3,TEKKALI,Gutla Kanchana,FEMALE,31.0,GENERAL,IND,DIAMOND,567,2.0,569,0.322228074,224852
2019,Andhra Pradesh,3,TEKKALI,NOTA,,,,NOTA,NOTA,2929,6.0,2935,1.662107904,224852
2019,Andhra Pradesh,3,TEKKALI,Chintada Dileep Kumar,MALE,38.0,SC,INC,Hand,1706,37.0,1743,0.987071236,224852
2019,Andhra Pradesh,3,TEKKALI,Chandrasekhara Patnaik,MALE,58.0,GENERAL,AIFB,Lion,213,3.0,216,0.122322081,224852
2019,Andhra Pradesh,3,TEKKALI,Kaniti Kiran Kumar,MALE,37.0,GENERAL,JnP,Glass Tumbler,2710,96.0,2806,1.589054439,224852
2019,Andhra Pradesh,3,TEKKALI,HANUMANTHU UDAY BHASKAR,MALE,50.0,GENERAL,BJP,Lotus,773,156.0,929,0.526098209,224852
2019,Andhra Pradesh,3,TEKKALI,ATCHANNAIDU KINJARAPU,MALE,49.0,GENERAL,TDP,Bicycle,86626,1032.0,87658,49.64124519,224852
2019,Andhra Pradesh,3,TEKKALI,PERADA TILAK,MALE,45.0,GENERAL,YSRCP,Ceiling Fan,77769,1344.0,79113,44.80216102,224852
2019,Andhra Pradesh,3,TEKKALI,Ramu Geddevalasa,MALE,35.0,GENERAL,IND,Helicopter,613,1.0,614,0.347711841,224852
2014,Andhra Pradesh,4,PATHAPATNAM,MULLETI SRINIVAS ACHARI,MALE,35.0,GENERAL,IND,Ganna Kisan,521,,521,0.341417703,217897
2014,Andhra Pradesh,4,PATHAPATNAM,REDDY SHANTHI,FEMALE,51.0,GENERAL,YSRCP,Ceiling Fan,75669,1272.0,76941,50.42038283,217897
2014,Andhra Pradesh,4,PATHAPATNAM,NOTA,,,,NOTA,NOTA,4202,15.0,4217,2.763451923,217897
2014,Andhra Pradesh,4,PATHAPATNAM,BANNA RAMU,MALE,44.0,SC,INC,Hand,1679,23.0,1702,1.115341516,217897
2014,Andhra Pradesh,4,PATHAPATNAM,KANTUBHUKTA BHASKARA RAO,MALE,42.0,GENERAL,ACP,Tooth Brush,524,2.0,526,0.344694264,217897
2014,Andhra Pradesh,4,PATHAPATNAM,GEDELA GYANA SAGAR,MALE,27.0,GENERAL,JnP,Glass Tumbler,5378,130.0,5508,3.609460088,217897
2014,Andhra Pradesh,4,PATHAPATNAM,RAGHAVA RAO SALANA,MALE,53.0,GENERAL,BJP,Lotus,1341,109.0,1450,0.950202819,217897
2014,Andhra Pradesh,4,PATHAPATNAM,KALAMATA VENKATA RAMANA MURTHY,MALE,56.0,GENERAL,TDP,Bicycle,60975,415.0,61390,40.22962143,217897
2014,Andhra Pradesh,4,PATHAPATNAM,BHASKARARAO BODDEPALLI,MALE,30.0,GENERAL,IND,Air Conditioner,343,1.0,344,0.225427427,217897
2019,Andhra Pradesh,4,PATHAPATNAM,MULLETI SRINIVAS ACHARI,MALE,35.0,GENERAL,IND,Ganna Kisan,521,,521,0.341417703,217897
2019,Andhra Pradesh,4,PATHAPATNAM,REDDY SHANTHI,FEMALE,51.0,GENERAL,YSRCP,Ceiling Fan,75669,1272.0,76941,50.42038283,217897
2019,Andhra Pradesh,4,PATHAPATNAM,NOTA,,,,NOTA,NOTA,4202,15.0,4217,2.763451923,217897
2019,Andhra Pradesh,4,PATHAPATNAM,BANNA RAMU,MALE,44.0,SC,INC,Hand,1679,23.0,1702,1.115341516,217897
2019,Andhra Pradesh,4,PATHAPATNAM,KANTUBHUKTA BHASKARA RAO,MALE,42.0,GENERAL,ACP,Tooth Brush,524,2.0,526,0.344694264,217897
2019,Andhra Pradesh,4,PATHAPATNAM,GEDELA GYANA SAGAR,MALE,27.0,GENERAL,JnP,Glass Tumbler,5378,130.0,5508,3.609460088,217897
2019,Andhra Pradesh,4,PATHAPATNAM,RAGHAVA RAO SALANA,MALE,53.0,GENERAL,BJP,Lotus,1341,109.0,1450,0.950202819,217897
2019,Andhra Pradesh,4,PATHAPATNAM,KALAMATA VENKATA RAMANA MURTHY,MALE,56.0,GENERAL,TDP,Bicycle,60975,415.0,61390,40.22962143,217897
2019,Andhra Pradesh,4,PATHAPATNAM,BHASKARARAO BODDEPALLI,MALE,30.0,GENERAL,IND,Air Conditioner,343,1.0,344,0.225427427,217897
2014,Andhra Pradesh,5,SRIKAKULAM,GUNDA LAKSHMI DEVI,FEMALE,58.0,GENERAL,TDP,Bicycle,77575,732.0,78307,44.16713199,256243
2014,Andhra Pradesh,5,SRIKAKULAM,MYLAPILLI TEJU,FEMALE,28.0,GENERAL,IND,SHIP,528,5.0,533,0.300625504,256243
2014,Andhra Pradesh,5,SRIKAKULAM,NOTA,,,,NOTA,NOTA,3063,19.0,3082,1.738326086,256243
2014,Andhra Pradesh,5,SRIKAKULAM,RAGOLU NAGA SIVA,MALE,32.0,GENERAL,JAJGP,Mike,303,2.0,305,0.172027727,256243
2014,Andhra Pradesh,5,SRIKAKULAM,CHOWDARI SATISH,MALE,33.0,GENERAL,INC,Hand,1800,27.0,1827,1.030474289,256243
2014,Andhra Pradesh,5,SRIKAKULAM,KORADA SARVESWARA RAO,MALE,39.0,GENERAL,JnP,Glass Tumbler,7440,117.0,7557,4.262339464,256243
2014,Andhra Pradesh,5,SRIKAKULAM,CHALLA VENKATESWARA RAO,MALE,52.0,GENERAL,BJP,Lotus,1260,80.0,1340,0.75579395,256243
2014,Andhra Pradesh,5,SRIKAKULAM,DHARMANA PRASADA RAO,MALE,60.0,GENERAL,YSRCP,Ceiling Fan,82388,1696.0,84084,47.42550635,256243
2014,Andhra Pradesh,5,SRIKAKULAM,MAHESH A,MALE,38.0,GENERAL,PPOI,FLUTE,261,1.0,262,0.147774638,256243
2019,Andhra Pradesh,5,SRIKAKULAM,GUNDA LAKSHMI DEVI,FEMALE,58.0,GENERAL,TDP,Bicycle,77575,732.0,78307,44.16713199,256243
2019,Andhra Pradesh,5,SRIKAKULAM,MYLAPILLI TEJU,FEMALE,28.0,GENERAL,IND,SHIP,528,5.0,533,0.300625504,256243
2019,Andhra Pradesh,5,SRIKAKULAM,NOTA,,,,NOTA,NOTA,3063,19.0,3082,1.738326086,256243
2019,Andhra Pradesh,5,SRIKAKULAM,RAGOLU NAGA SIVA,MALE,32.0,GENERAL,JAJGP,Mike,303,2.0,305,0.172027727,256243
2019,Andhra Pradesh,5,SRIKAKULAM,CHOWDARI SATISH,MALE,33.0,GENERAL,INC,Hand,1800,27.0,1827,1.030474289,256243
2019,Andhra Pradesh,5,SRIKAKULAM,KORADA SARVESWARA RAO,MALE,39.0,GENERAL,JnP,Glass Tumbler,7440,117.0,7557,4.262339464,256243
