year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,Andhra Pradesh,1,ICHCHAPURAM,GANAPA VANAJAKSHI,FEMALE,31,GENERAL,IND,Ring,613,4,617,0.357840891,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,NOTA,,,,NOTA,NOTA,3872,8,3880,2.250279835,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,ESWARA RAO KOLLI,MALE,50,GENERAL,INC,Hand,2100,38,2138,1.239973785,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,DASARI RAJU,MALE,42,GENERAL,JnP,Glass Tumbler,10940,183,11123,6.450995517,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,JANNALA SURYAVARA PRASADA RAO,MALE,67,GENERAL,BJP,Lotus,1656,170,1826,1.059023448,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,ASHOK BENDALAM,MALE,37,GENERAL,TDP,Bicycle,79405,587,79992,46.39288262,247941
2014,Andhra Pradesh,1,ICHCHAPURAM,PIRIYA SAIRAJ,MALE,42,GENERAL,YSRCP,Ceiling Fan,71931,916,72847,42.2490039,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,GANAPA VANAJAKSHI,FEMALE,31,GENERAL,IND,Ring,613,4,617,0.357840891,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,NOTA,,,,NOTA,NOTA,3872,8,3880,2.250279835,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,ESWARA RAO KOLLI,MALE,50,GENERAL,INC,Hand,2100,38,2138,1.239973785,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,DASARI RAJU,MALE,42,GENERAL,JnP,Glass Tumbler,10940,183,11123,6.450995517,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,JANNALA SURYAVARA PRASADA RAO,MALE,67,GENERAL,BJP,Lotus,1656,170,1826,1.059023448,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,ASHOK BENDALAM,MALE,37,GENERAL,TDP,Bicycle,79405,587,79992,46.39288262,247941
2019,Andhra Pradesh,1,ICHCHAPURAM,PIRIYA SAIRAJ,MALE,42,GENERAL,YSRCP,Ceiling Fan,71931,916,72847,42.2490039,247941
2014,Andhra Pradesh,2,Palasa,MANOJ NALANAGULA,MALE,38,GENERAL,IND,Football,392,,392,0.260134978,206799
2014,Andhra Pradesh,2,Palasa,GOUTHU SIREESHA,FEMALE,44,GENERAL,TDP,Bicycle,59873,483,60356,40.05282333,206799
2014,Andhra Pradesh,2,Palasa,MAJJI SARADA,FEMALE,64,GENERAL,INC,Hand,1226,29,1255,0.832830096,206799
2014,Andhra Pradesh,2,Palasa,NOTA,,,,NOTA,NOTA,3034,10,3044,2.020027739,206799
2014,Andhra Pradesh,2,Palasa,DUNNA VASUDEVU,MALE,54,GENERAL,IND,Tractor Chalata Kissan,636,3,639,0.424046559,206799
2014,Andhra Pradesh,2,Palasa,MAMIDI PRASAD,MALE,32,GENERAL,IND,Ring,322,4,326,0.216336742,206799
2014,Andhra Pradesh,2,Palasa,KOTHA PURNACHANDRA RAO,MALE,47,GENERAL,JnP,Glass Tumbler,5972,161,6133,4.069917911,206799
2014,Andhra Pradesh,2,Palasa,KORRAYI BALAKRISHNA,MALE,49,GENERAL,BJP,Lotus,1359,215,1574,1.044521571,206799
2014,Andhra Pradesh,2,Palasa,APPALARAJU SEEDIRI,MALE,39,GENERAL,YSRCP,Ceiling Fan,75357,1246,76603,50.83448912,206799
2014,Andhra Pradesh,2,Palasa,KAMESWARA RAO POTHANAPALLI,MALE,51,GENERAL,CPI(ML)(L),Flag with Three Stars,368,1,369,0.244871957,206799
2019,Andhra Pradesh,2,Palasa,MANOJ NALANAGULA,MALE,38,GENERAL,IND,Football,392,,392,0.260134978,206799
2019,Andhra Pradesh,2,Palasa,GOUTHU SIREESHA,FEMALE,44,GENERAL,TDP,Bicycle,59873,483,60356,40.05282333,206799
2019,Andhra Pradesh,2,Palasa,MAJJI SARADA,FEMALE,64,GENERAL,INC,Hand,1226,29,1255,0.832830096,206799
2019,Andhra Pradesh,2,Palasa,NOTA,,,,NOTA,NOTA,3034,10,3044,2.020027739,206799
2019,Andhra Pradesh,2,Palasa,DUNNA VASUDEVU,MALE,54,GENERAL,IND,Tractor Chalata Kissan,636,3,639,0.424046559,206799
2019,Andhra Pradesh,2,Palasa,MAMIDI PRASAD,MALE,32,GENERAL,IND,Ring,322,4,326,0.216336742,206799
2019,Andhra Pradesh,2,Palasa,KOTHA PURNACHANDRA RAO,MALE,47,GENERAL,JnP,Glass Tumbler,5972,161,6133,4.069917911,206799
2019,Andhra Pradesh,2,Palasa,KORRAYI BALAKRISHNA,MALE,49,GENERAL,BJP,Lotus,1359,215,1574,1.044521571,206799
2019,Andhra Pradesh,2,Palasa,APPALARAJU SEEDIRI,MALE,39,GENERAL,YSRCP,Ceiling Fan,75357,1246,76603,50.83448912,206799
2019,Andhra Pradesh,2,Palasa,KAMESWARA RAO POTHANAPALLI,MALE,51,GENERAL,CPI(ML)(L),Flag with Three Stars,368,1,369,0.244871957,206799
2014,Andhra Pradesh,3,Tekkali,Gutla Kanchana,FEMALE,31,GENERAL,IND,DIAMOND,567,2,569,0.322228074,224852
2014,Andhra Pradesh,3,Tekkali,NOTA,,,,NOTA,NOTA,2929,6,2935,1.662107904,224852
2014,Andhra Pradesh,3,Tekkali,Chintada Dileep Kumar,MALE,38,SC,INC,Hand,1706,37,1743,0.987071236,224852
2014,Andhra Pradesh,3,Tekkali,Chandrasekhara Patnaik,MALE,58,GENERAL,AIFB,Lion,213,3,216,0.122322081,224852
2014,Andhra Pradesh,3,Tekkali,Kaniti Kiran Kumar,MALE,37,GENERAL,JnP,Glass Tumbler,2710,96,2806,1.589054439,224852
2014,Andhra Pradesh,3,Tekkali,HANUMANTHU UDAY BHASKAR,MALE,50,GENERAL,BJP,Lotus,773,156,929,0.526098209,224852
2014,Andhra Pradesh,3,Tekkali,ATCHANNAIDU KINJARAPU,MALE,49,GENERAL,TDP,Bicycle,86626,1032,87658,49.64124519,224852
2014,Andhra Pradesh,3,Tekkali,PERADA TILAK,MALE,45,GENERAL,YSRCP,Ceiling Fan,77769,1344,79113,44.80216102,224852
2014,Andhra Pradesh,3,Tekkali,Ramu Geddevalasa,MALE,35,GENERAL,IND,Helicopter,613,1,614,0.347711841,224852
2019,Andhra Pradesh,3,Tekkali,Gutla Kanchana,FEMALE,31,GENERAL,IND,DIAMOND,567,2,569,0.322228074,224852
2019,Andhra Pradesh,3,Tekkali,NOTA,,,,NOTA,NOTA,2929,6,2935,1.662107904,224852
2019,Andhra Pradesh,3,Tekkali,Chintada Dileep Kumar,MALE,38,SC,INC,Hand,1706,37,1743,0.987071236,224852
2019,Andhra Pradesh,3,Tekkali,Chandrasekhara Patnaik,MALE,58,GENERAL,AIFB,Lion,213,3,216,0.122322081,224852
2019,Andhra Pradesh,3,Tekkali,Kaniti Kiran Kumar,MALE,37,GENERAL,JnP,Glass Tumbler,2710,96,2806,1.589054439,224852
2019,Andhra Pradesh,3,Tekkali,HANUMANTHU UDAY BHASKAR,MALE,50,GENERAL,BJP,Lotus,773,156,929,0.526098209,224852
